locationId,location,date,unit,country,city,isMobile,isAnalysis,entity,sensorType,latitude,longitude,co,no2,o3,pm10,pm25,so2,no,nox
10860,Benito Juárez,2024-11-14 18:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,26,15,,,
10860,Benito Juárez,2024-11-14 17:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,30,17,,,
10860,Benito Juárez,2024-11-14 16:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,24,13,,,
10860,Benito Juárez,2024-11-14 15:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,21,14,,,
10860,Benito Juárez,2024-11-14 14:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,21,16,,,
10860,Benito Juárez,2024-11-14 13:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,23,16,,,
10860,Benito Juárez,2024-11-14 12:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,23,14,,,
10860,Benito Juárez,2024-11-14 11:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,34,18,,,
10860,Benito Juárez,2024-11-14 10:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,29,16,,,
10860,Benito Juárez,2024-11-14 09:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,26,13,,,
10860,Benito Juárez,2024-11-12 23:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,39,23,,,
10860,Benito Juárez,2024-11-12 22:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,39,22,,,
10860,Benito Juárez,2024-11-12 21:00:00+00:00,µg/m³,MX,BJU,FALSE,,Governmental Organization,reference grade,19.37166667,-99.15916667,,,,39,22,,,
